nome,edge_simpl2
10004473376.jpg,0.0011157989501953125
10007357496.jpg,0.0011164347330729165
10007903636.jpg,0.0011157989501953125
10009096245.jpg,0.0011132558186848958
100117038.jpg,0.001117706298828125
10012398043.jpg,0.0011119842529296875
10013822223.jpg,0.0011164347330729167
10014002683.jpg,0.0011164347330729167
10017119924.jpg,0.001117070515950521
10020766793.jpg,0.0011164347330729165
10020891105.jpg,0.0011157989501953125
10022757465.jpg,0.0009365081787109375
10022844623.jpg,0.0011157989501953125
10027545463.jpg,0.0011164347330729165
10027582235.jpg,0.0011164347330729165
10029841663.jpg,0.0011126200358072915
10031298826.jpg,0.0011005401611328125
10031913154.jpg,0.0011164347330729165
10039534103.jpg,0.001117070515950521
10041870415.jpg,0.0011157989501953125
10043785683.jpg,0.001117070515950521
10047832035.jpg,0.001117070515950521
10048365153.jpg,0.0011151631673177085
10050349236.jpg,0.001117070515950521
10058760545.jpg,0.0011157989501953125
10059344614.jpg,0.0009822845458984375
10061596254.jpg,0.001117070515950521
10067457634.jpg,0.0011138916015625
10068507976.jpg,0.0011164347330729165
10068778516.jpg,0.001087188720703125
10069534975.jpg,0.0011157989501953125
10071864114.jpg,0.0011164347330729165
10075168775.jpg,0.0009593963623046875
10077468576.jpg,0.0011145273844401042
10077880165.jpg,0.001117070515950521
10079711433.jpg,0.0011157989501953125
10082923485.jpg,0.0011126200358072915
10086300493.jpg,0.0011157989501953125
100882570.jpg,0.0011138916015625
10089027076.jpg,0.0011164347330729165
10089177336.jpg,0.001114527384440104
10091520555.jpg,0.0011157989501953125
10093057603.jpg,0.0011157989501953125
10094235786.jpg,0.0011164347330729167
10110458216.jpg,0.001110076904296875
10111411235.jpg,0.0011157989501953125
10113730664.jpg,0.0011157989501953125
10115071674.jpg,0.0011164347330729165
10118773964.jpg,0.0011157989501953125
10121813934.jpg,0.0011151631673177083
10125013364.jpg,0.00110626220703125
10126177964.jpg,0.0009733835856119792
10126857344.jpg,0.0011157989501953125
10130566006.jpg,0.0011145273844401042
10131980434.jpg,0.0011157989501953125
10133867305.jpg,0.0011164347330729165
10134737015.jpg,0.0011068979899088542
10140071304.jpg,0.0011157989501953125
10147970884.jpg,0.0011145273844401042
10153847086.jpg,0.001110712687174479
10154367094.jpg,0.001117706298828125
10154991453.jpg,0.0011138916015625
10155925686.jpg,0.0011157989501953125
101601008.jpg,0.0011088053385416665
10164654253.jpg,0.001117070515950521
10164842933.jpg,0.001117070515950521
10169304416.jpg,0.0011164347330729167
10173544123.jpg,0.001117706298828125
10177270623.jpg,0.001117070515950521
10177793964.jpg,0.0011170705159505208
10178112894.jpg,0.0011164347330729165
10178183416.jpg,0.0011157989501953125
10178914656.jpg,0.0011107126871744792
10183769356.jpg,0.0011164347330729165
10186643874.jpg,0.0011164347330729165
10186680555.jpg,0.0011170705159505208
10186832194.jpg,0.001117070515950521
10187102065.jpg,0.0011151631673177083
10187522803.jpg,0.001117706298828125
10191607755.jpg,0.0011170705159505208
10196228605.jpg,0.0011119842529296875
10203647273.jpg,0.0011164347330729165
10205220286.jpg,0.0011126200358072917
10206674394.jpg,0.0011164347330729165
10207172624.jpg,0.0011164347330729167
10209014225.jpg,0.001094818115234375
10209917915.jpg,0.0011164347330729165
10211880874.jpg,0.0011157989501953125
10213881683.jpg,0.0011157989501953125
10218118033.jpg,0.0011157989501953125
10221144393.jpg,0.0011164347330729167
10224586444.jpg,0.0011157989501953125
10226277514.jpg,0.0011164347330729165
10226524916.jpg,0.0011164347330729165
10227210045.jpg,0.0011145273844401042
10241630856.jpg,0.0011157989501953125
10241895785.jpg,0.0011164347330729167
10244314384.jpg,0.001029332478841146
10244715656.jpg,0.0011164347330729165
10246311914.jpg,0.0011157989501953125
10246318724.jpg,0.001114527384440104
10258169584.jpg,0.0011157989501953125
10260190424.jpg,0.0011145273844401042
1026198859.jpg,0.001109441121419271
10262588616.jpg,0.001113255818684896
10264804094.jpg,0.0011164347330729165
10264984793.jpg,0.0010744730631510417
10265315316.jpg,0.0011183420817057292
10265809113.jpg,0.0011145273844401042
10273804555.jpg,0.0011170705159505208
10278246465.jpg,0.0011151631673177083
10279904885.jpg,0.0011113484700520833
10280683815.jpg,0.0011164347330729165
10280835505.jpg,0.0011164347330729165
10283619534.jpg,0.0011151631673177083
10287677265.jpg,0.0011183420817057292
10289468185.jpg,0.0011145273844401042
10290759976.jpg,0.0011164347330729165
1029470257.jpg,0.0011119842529296875
10295875445.jpg,0.001117070515950521
10296038236.jpg,0.0011119842529296875
10299438733.jpg,0.0011164347330729165
102995966.jpg,0.0010973612467447915
10316734944.jpg,0.0011164347330729165
10319186405.jpg,0.001117706298828125
10319713194.jpg,0.0011145273844401042
10325321.jpg,0.0011164347330729165
10327985614.jpg,0.0011164347330729165
10329149264.jpg,0.001117070515950521
10329235193.jpg,0.0009511311848958333
10330831494.jpg,0.0011164347330729165
10335072144.jpg,0.0011157989501953125
10336689775.jpg,0.0010464986165364583
