edge_simpl,hue_simpl,average_lum,contrast_ratio,hist_width,blur,score
80184044.jpg,0.98828125,17,32.79135726615747,0.03346113008031696,0.828125,0.5063667297363281,3.91176470588235
3632417985.jpg,0.9847005208333334,10,60.39496709329541,0.040130759986511715,0.9375,0.5096842447916666,4.16741071428571
10344921126.jpg,0.9002278645833334,14,82.28910941851277,0.00883245804838218,0.8203125,0.499053955078125,4.46638655462185
33000255.jpg,0.9874674479166666,16,14.709629821335549,0.0017702971378012577,0.9921875,0.4901720682779948,4.705508474576269
3091624267.jpg,0.9876302083333334,17,20.625202285791897,0.0,0.80078125,0.49448267618815106,4.94871794871795
19502065.jpg,0.9773763020833334,12,4.22058524144986,0.0,0.48828125,0.4979197184244792,5.089743589743589
28311109.jpg,0.98486328125,17,14.911158711103937,0.0,0.83203125,0.508538564046224,5.160256410256411
44009500.jpg,0.9889322916666666,17,59.11476589396409,0.010644695676639403,0.9765625,0.48514684041341144,5.5
3483143101.jpg,0.9747721354166666,18,65.72540536095777,0.0,0.95703125,0.513037363688151,6.060924369747901
7106381255.jpg,0.98876953125,18,33.02635542083126,0.0,0.98828125,0.5087114969889323,6.61853448275862
4299216840.jpg,0.951171875,18,16.489239795973916,0.0,0.98828125,0.47163136800130206,6.68487394957983
7358286276.jpg,0.9876302083333334,18,7.282409950483984,0.0,0.24609375,0.49812062581380206,7.05
450338979.jpg,0.98876953125,17,46.29605231892432,0.016981235872567346,0.66796875,0.49994150797526044,7.2787610619469
4113685341.jpg,0.98876953125,13,35.21423408166535,0.002197256546497138,0.8984375,0.4889996846516927,7.51680672268908
154740129.jpg,0.9853515625,15,47.842752425757226,0.00039573654069084083,0.98046875,0.4988555908203125,7.6
10319713194.jpg,0.9864908854166666,11,45.481483118531656,0.0,0.9921875,0.5083783467610677,7.99152542372881
5306909990.jpg,0.98876953125,17,47.435968392330004,0.009062364796278796,0.9609375,0.4994697570800781,8.29807692307692
545103098.jpg,0.9775390625,17,65.88070385083152,0.0,0.9375,0.4992510477701823,8.34110169491525
9352087961.jpg,0.9583333333333334,18,5.536755831132343,0.0,0.18359375,0.499298095703125,8.34110169491525
6759678037.jpg,0.98876953125,17,25.1947834535481,0.005997906089534268,0.70703125,0.5018234252929688,8.41806722689076
255478501.jpg,0.9876302083333334,16,15.876620293498261,0.0009805011119020323,0.5234375,0.4986534118652344,8.76470588235294
8840187174.jpg,0.9410807291666666,17,12.943279642384537,0.0,0.9609375,0.5009422302246094,9.11016949152542
4232014784.jpg,0.98974609375,16,9.094496065517385,0.0,0.921875,0.4989166259765625,9.25
7064847959.jpg,0.98681640625,18,37.36591417323263,0.0,0.98828125,0.49783070882161456,9.73940677966102
146926363.jpg,0.9881184895833334,17,37.98810908979405,0.0033216914146421317,0.9765625,0.45980199178059894,9.9375
45323583.jpg,0.9837239583333334,17,12.365411975368218,0.0,0.984375,0.5049336751302084,10.025641025641
145215893.jpg,0.9864908854166666,17,7.566901112468519,0.0,0.40625,0.4952430725097656,10.14375
246188030.jpg,0.98876953125,17,56.82413058312017,0.05496316081775866,0.58984375,0.5073026021321615,10.35
7924366.jpg,0.98486328125,7,19.89530026941789,0.02832949100412396,0.41796875,0.49721654256184894,10.4978991596639
5809947698.jpg,0.9210611979166666,18,34.77959870026212,0.0,0.98828125,0.49447377522786456,10.7232142857143
7627340946.jpg,0.9876302083333334,13,16.716514851021326,0.0,0.296875,0.5004806518554688,10.7881355932203
6434876963.jpg,0.9905598958333334,18,15.839651006887578,0.0,0.44140625,0.5069046020507812,11.0022123893805
6788551083.jpg,0.98876953125,17,36.59981174970776,0.005557628812874041,0.8203125,0.48688507080078125,11.0375
5825243642.jpg,0.98876953125,14,23.852769582641884,0.10450929626864153,0.39453125,0.5011850992838541,11.0400943396226
6784185258.jpg,0.9853515625,19,6.392793734956091,0.0,0.51171875,0.4990590413411458,11.083333333333302
4953282690.jpg,0.9337565104166666,11,76.67669091317843,0.44324291644655295,0.90234375,0.4984588623046875,11.121848739495801
185458280.jpg,0.9881184895833334,19,16.660049014652376,0.0,0.69140625,0.49806976318359375,11.1911764705882
4193794378.jpg,0.9695638020833334,8,2.7394509211399676,0.0,0.51171875,0.4974924723307292,11.4021739130435
4247073360.jpg,0.974609375,11,67.27272443059488,0.009589248182516847,0.8828125,0.5012092590332031,11.4173728813559
3753143338.jpg,0.98876953125,15,24.44372312512523,0.014593035530768423,0.86328125,0.49967066446940106,11.51875
976846781.jpg,0.98876953125,17,76.16309151515996,0.04309029185228181,0.75,0.49208958943684894,11.5206422018349
7162855925.jpg,0.9850260416666666,3,17.201673462765864,0.011810353172358295,0.34765625,0.4970563252766927,11.855263157894699
8352296647.jpg,0.9853515625,16,77.33627704091471,0.0056058815918797154,0.8671875,0.4998130798339844,11.8844537815126
4831070004.jpg,0.9656575520833334,12,51.50167475205017,0.007120638702233926,0.9921875,0.4931500752766927,11.9294871794872
8217034676.jpg,0.9894205729166666,14,7.875666990267923,0.001759779842493785,0.46875,0.4969062805175781,11.95
9741202505.jpg,0.9876302083333334,14,26.766791035565003,0.0,0.9921875,0.5085118611653646,12.1
3084860790.jpg,0.97998046875,15,36.44018911888549,0.0,0.9921875,0.5001258850097656,12.1850961538462
5269040313.jpg,0.9581705729166666,12,24.445827369146766,0.0,0.984375,0.4754320780436198,12.243362831858402
377273746.jpg,0.9278971354166666,16,20.678633237744666,0.0,0.98828125,0.4852002461751302,12.478260869565199
461213420.jpg,0.9910481770833334,10,36.888763101489985,0.005296118945437982,0.9609375,0.4803886413574219,12.48125
2332998569.jpg,0.9856770833333334,14,54.05177085053549,0.0,0.984375,0.4838244120279948,12.5347222222222
2481588554.jpg,0.9876302083333334,18,19.963686184018968,0.0,0.98828125,0.4959004720052083,12.716386554621801
6989772902.jpg,0.98828125,17,25.220638787874023,0.0,0.9765625,0.49632517496744794,12.7457627118644
6585039061.jpg,0.9881184895833334,18,16.646243676485703,0.005483469920475912,0.9765625,0.4974009195963542,12.815677966101699
531477784.jpg,0.9866536458333334,11,21.94173156722343,0.0,0.9921875,0.49538930257161456,13.132352941176501
